,species,lat,long
228,Petersianthus macrocarpus (P.Beauv.) Liben,-2.11047,11.58905
229,Petersianthus macrocarpus (P.Beauv.) Liben,-2.11059,11.59365
230,Petersianthus macrocarpus (P.Beauv.) Liben,-2.11073,11.59804
231,Petersianthus macrocarpus (P.Beauv.) Liben,-2.11501,11.58456
232,Petersianthus macrocarpus (P.Beauv.) Liben,-2.11496,11.58872
233,Petersianthus macrocarpus (P.Beauv.) Liben,-2.11496,11.59352
234,Petersianthus macrocarpus (P.Beauv.) Liben,-2.11528,11.59801
235,Petersianthus macrocarpus (P.Beauv.) Liben,-2.11499,11.60244
236,Petersianthus macrocarpus (P.Beauv.) Liben,-2.11958,11.58906
237,Petersianthus macrocarpus (P.Beauv.) Liben,-2.11975,11.59366
238,Petersianthus macrocarpus (P.Beauv.) Liben,-2.11957,11.59805
239,Petersianthus macrocarpus (P.Beauv.) Liben,-2.11961,11.60254
241,Petersianthus macrocarpus (P.Beauv.) Liben,-1.384838,11.580673
242,Petersianthus macrocarpus (P.Beauv.) Liben,-1.384162,11.579586
243,Petersianthus macrocarpus (P.Beauv.) Liben,-1.383589,11.581158
244,Petersianthus macrocarpus (P.Beauv.) Liben,-1.382504,11.580946
245,Petersianthus macrocarpus (P.Beauv.) Liben,-1.382016,11.581295
246,Petersianthus macrocarpus (P.Beauv.) Liben,-1.380929,11.581533
247,Petersianthus macrocarpus (P.Beauv.) Liben,-1.380368,11.581141
248,Petersianthus macrocarpus (P.Beauv.) Liben,-1.380212,11.582064
249,Petersianthus macrocarpus (P.Beauv.) Liben,-1.380639,11.581942
250,Petersianthus macrocarpus (P.Beauv.) Liben,-1.37795,11.587168
251,Petersianthus macrocarpus (P.Beauv.) Liben,-1.377095,11.58759
252,Petersianthus macrocarpus (P.Beauv.) Liben,-1.369033,11.590802
253,Petersianthus macrocarpus (P.Beauv.) Liben,-1.373667,11.592635
254,Petersianthus macrocarpus (P.Beauv.) Liben,-1.37921,11.590138
255,Petersianthus macrocarpus (P.Beauv.) Liben,-1.379756,11.59063
256,Petersianthus macrocarpus (P.Beauv.) Liben,-1.378744,11.590745
257,Combretodendron africanum (Welw. ex Benth. & Hook.f.) Exell,7.733806,-8.738222
258,Combretodendron africanum (Welw. ex Benth. & Hook.f.) Exell,7.933806,-8.140361
259,Combretodendron africanum (Welw. ex Benth. & Hook.f.) Exell,8.513833,-9.630556
260,Combretodendron africanum (Welw. ex Benth. & Hook.f.) Exell,7.579889,-8.819167
261,Combretodendron africanum (Welw. ex Benth. & Hook.f.) Exell,7.66725,-8.312361
262,Combretodendron africanum (Welw. ex Benth. & Hook.f.) Exell,7.882972,-8.603444
263,Combretodendron africanum (Welw. ex Benth. & Hook.f.) Exell,8.570972,-9.875778
264,Combretodendron africanum (Welw. ex Benth. & Hook.f.) Exell,8.044583,-9.056194
265,Combretodendron africanum (Welw. ex Benth. & Hook.f.) Exell,7.560722,-9.096028
266,Petersianthus macrocarpus (P.Beauv.) Liben,5.34859,-3.98575
