"","species","lat","long"
"241","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.977173,2.167032
"242","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.977037,2.166845
"243","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.977533,2.166882
"244","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.977868,2.166945
"247","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.977032,2.166763
"248","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.978858,2.166603
"249","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.97907,2.167362
"250","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.979042,2.166822
"251","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.979067,2.167183
"252","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.97943,2.167068
"253","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.979297,2.166902
"254","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.979413,2.166815
"265","Holarrhena floribunda (G.Don) T.Durand & Schinz",5.10272,5.819537
"266","Holarrhena floribunda (G.Don) T.Durand & Schinz",4.943605,6.770676
"267","Holarrhena floribunda (G.Don) T.Durand & Schinz",5.095405,6.729836
"268","Holarrhena floribunda (G.Don) T.Durand & Schinz",5.098315,6.713525
"269","Holarrhena floribunda (G.Don) T.Durand & Schinz",5.101167,6.724966
"270","Holarrhena floribunda (G.Don) T.Durand & Schinz",5.269701,5.860677
"271","Holarrhena floribunda (G.Don) T.Durand & Schinz",4.66091,6.2244
"272","Holarrhena floribunda (G.Don) T.Durand & Schinz",4.66391,6.225
"274","Holarrhena floribunda (G.Don) T.Durand & Schinz",4.6704,6.22669
"275","Holarrhena floribunda (G.Don) T.Durand & Schinz",4.68329,6.23922
"277","Holarrhena floribunda (G.Don) T.Durand & Schinz",5.334253,5.479121
"278","Holarrhena floribunda (G.Don) T.Durand & Schinz",5.014889,5.646932
"279","Holarrhena floribunda (G.Don) T.Durand & Schinz",5.37026,5.885041
"280","Holarrhena floribunda (G.Don) T.Durand & Schinz",4.809953,8.525131
"281","Holarrhena floribunda (G.Don) T.Durand & Schinz",4.40824,7.20306
"282","Holarrhena floribunda (G.Don) T.Durand & Schinz",4.40889,7.20099
"284","Holarrhena floribunda (G.Don) T.Durand & Schinz",4.40981,7.20957
