"","species","lat","long"
"172","Ricinodendron heudelotii subsp. heudelotii",6.793,10.102
"185","Ricinodendron heudelotii subsp. heudelotii",6.793,10.108
"212","Ricinodendron heudelotii (Baill.) Heckel",-2.356,11.2104
"213","Ricinodendron heudelotii (Baill.) Heckel",-2.3576,11.20708
"214","Ricinodendron heudelotii (Baill.) Heckel",-2.275,11.238
"215","Ricinodendron heudelotii (Baill.) Heckel",-2.31943,11.2255
"216","Ricinodendron heudelotii (Baill.) Heckel",-2.351,11.20427
"217","Ricinodendron heudelotii (Baill.) Heckel",-2.296,11.24
"218","Ricinodendron heudelotii (Baill.) Heckel",-2.044,11.1984
"219","Ricinodendron heudelotii (Baill.) Heckel",-2.22602,11.17045
"220","Ricinodendron heudelotii (Baill.) Heckel",-2.22437,11.17278
"221","Ricinodendron heudelotii (Baill.) Heckel",-2.18705,11.23304
"222","Ricinodendron heudelotii (Baill.) Heckel",-2.49441,11.2527
"223","Ricinodendron heudelotii (Baill.) Heckel",-2.51636,11.27142
"224","Ricinodendron heudelotii (Baill.) Heckel",-2.43467,11.24919
"225","Ricinodendron heudelotii (Baill.) Heckel",-2.44304,11.27332
"226","Ricinodendron heudelotii (Baill.) Heckel",-2.27709,11.254
"227","Ricinodendron heudelotii (Baill.) Heckel",-2.324,11.3037
"228","Ricinodendron heudelotii (Baill.) Heckel",-2.26082,11.15489
"229","Ricinodendron heudelotii (Baill.) Heckel",-2.3333,11.28383
"230","Ricinodendron heudelotii (Baill.) Heckel",-2.33957,11.27929
"231","Ricinodendron heudelotii subsp. heudelotii",6.795,10.115
"232","Ricinodendron heudelotii (Baill.) Heckel",-6.21556,15.44389
"234","Ricinodendron heudelotii (Baill.) Heckel",-9.25278,14.77667
"235","Ricinodendron heudelotii (Baill.) Heckel",7.083333,4.5
"236","Ricinodendron heudelotii (Baill.) Heckel",7.088227,4.496029
"237","Ricinodendron heudelotii (Baill.) Heckel",7.090226,4.494142
"238","Ricinodendron heudelotii subsp. africanum (Müll.Arg.) J.Léonard",-7.61667,14.96667
"241","Ricinodendron heudelotii (Baill.) Heckel",7.861191,2.474635
"242","Ricinodendron heudelotii (Baill.) Heckel",7.862059,2.473947
"243","Ricinodendron heudelotii (Baill.) Heckel",7.861287,2.470462
"244","Ricinodendron heudelotii (Baill.) Heckel",7.865197,2.472741
"245","Ricinodendron heudelotii (Baill.) Heckel",7.864961,2.471654
"246","Ricinodendron heudelotii (Baill.) Heckel",7.864726,2.472017
"247","Ricinodendron heudelotii (Baill.) Heckel",7.864126,2.467934
"248","Ricinodendron heudelotii (Baill.) Heckel",7.864343,2.467925
"249","Ricinodendron heudelotii (Baill.) Heckel",8.354888,2.38633
"250","Ricinodendron heudelotii (Baill.) Heckel",8.354381,2.38662
"251","Ricinodendron heudelotii (Baill.) Heckel",8.355168,2.386466
"252","Ricinodendron heudelotii (Baill.) Heckel",7.864943,2.472306
"253","Ricinodendron heudelotii (Baill.) Heckel",7.861016,2.471023
"254","Ricinodendron heudelotii (Baill.) Heckel",7.864925,2.472125
"255","Ricinodendron heudelotii (Baill.) Heckel",7.865214,2.472261
"256","Ricinodendron heudelotii (Baill.) Heckel",7.862977,2.46837
"257","Ricinodendron heudelotii (Baill.) Heckel",7.863737,2.467772
"258","Ricinodendron heudelotii (Baill.) Heckel",7.863484,2.467889
"259","Ricinodendron heudelotii (Baill.) Heckel",8.355531,2.387109
"260","Ricinodendron heudelotii (Baill.) Heckel",8.35554,2.387181
"261","Ricinodendron heudelotii (Baill.) Heckel",7.861391,2.476582
"262","Ricinodendron heudelotii (Baill.) Heckel",7.86565,2.4737
"263","Ricinodendron heudelotii (Baill.) Heckel",7.865016,2.47323
"264","Ricinodendron heudelotii (Baill.) Heckel",7.865513,2.472967
"265","Ricinodendron heudelotii (Baill.) Heckel",7.865441,2.472894
"266","Ricinodendron heudelotii (Baill.) Heckel",7.862068,2.474807
"267","Ricinodendron heudelotii (Baill.) Heckel",7.861073,2.474889
"268","Ricinodendron heudelotii (Baill.) Heckel",7.862447,2.472571
"269","Ricinodendron heudelotii (Baill.) Heckel",7.862193,2.471774
"270","Ricinodendron heudelotii (Baill.) Heckel",7.861939,2.471702
"271","Ricinodendron heudelotii (Baill.) Heckel",7.861839,1.909106
"272","Ricinodendron heudelotii (Baill.) Heckel",7.862147,2.470887
"273","Ricinodendron heudelotii (Baill.) Heckel",7.862265,2.471566
"274","Ricinodendron heudelotii (Baill.) Heckel",7.862509,2.471738
"275","Ricinodendron heudelotii (Baill.) Heckel",7.866228,2.47255
"276","Ricinodendron heudelotii (Baill.) Heckel",7.865595,2.473003
"277","Ricinodendron heudelotii (Baill.) Heckel",7.865811,2.563153
"278","Ricinodendron heudelotii (Baill.) Heckel",7.86611,2.472369
"279","Ricinodendron heudelotii (Baill.) Heckel",7.86611,2.472541
"280","Ricinodendron heudelotii (Baill.) Heckel",7.865359,2.472659
"281","Ricinodendron heudelotii (Baill.) Heckel",7.86488,2.472098
"282","Ricinodendron heudelotii (Baill.) Heckel",7.864672,2.472153
"283","Ricinodendron heudelotii (Baill.) Heckel",7.864579,2.469781
"284","Ricinodendron heudelotii (Baill.) Heckel",7.864471,2.470134
"285","Ricinodendron heudelotii (Baill.) Heckel",7.863828,2.46893
"286","Ricinodendron heudelotii (Baill.) Heckel",7.863692,2.467916
"287","Ricinodendron heudelotii (Baill.) Heckel",7.86456,2.4674
"288","Ricinodendron heudelotii (Baill.) Heckel",8.361812,2.381022
"289","Ricinodendron heudelotii (Baill.) Heckel",8.354761,2.385795
"290","Ricinodendron heudelotii (Baill.) Heckel",8.354761,2.385977
"291","Ricinodendron heudelotii (Baill.) Heckel",7.86318,2.474209
"292","Ricinodendron heudelotii (Baill.) Heckel",7.864681,2.472515
"293","Ricinodendron heudelotii (Baill.) Heckel",7.860784,2.474781
"294","Ricinodendron heudelotii (Baill.) Heckel",7.864536,2.471664
"295","Ricinodendron heudelotii (Baill.) Heckel",7.863991,2.469609
"296","Ricinodendron heudelotii (Baill.) Heckel",7.863755,2.467382
"297","Ricinodendron heudelotii (Baill.) Heckel",6.9043,2.5678
"298","Ricinodendron heudelotii (Baill.) Heckel",0.795944,24.494297
"300","Ricinodendron heudelotii (Baill.) Heckel",6.904343,2.567846
"301","Ricinodendron heudelotii (Baill.) Heckel",8.362201,2.381357
"302","Ricinodendron heudelotii (Baill.) Heckel",8.355557,2.386275
"303","Ricinodendron heudelotii (Baill.) Heckel",8.355874,2.386991
"304","Ricinodendron heudelotii (Baill.) Heckel",8.355666,2.387145
"305","Ricinodendron heudelotii (Baill.) Heckel",8.355494,2.386674
"306","Ricinodendron heudelotii (Baill.) Heckel",7.863602,2.468623
"307","Ricinodendron heudelotii (Baill.) Heckel",7.864199,2.468423
"308","Ricinodendron heudelotii (Baill.) Heckel",7.863647,2.469075
"309","Ricinodendron heudelotii (Baill.) Heckel",8.355096,2.386312
"310","Ricinodendron heudelotii (Baill.) Heckel",7.859808,2.476067
"311","Ricinodendron heudelotii (Baill.) Heckel",7.864102,2.473212
"312","Ricinodendron heudelotii (Baill.) Heckel",7.863994,2.474
"313","Ricinodendron heudelotii (Baill.) Heckel",7.862692,2.473602
"314","Ricinodendron heudelotii (Baill.) Heckel",7.864916,2.472415
"315","Ricinodendron heudelotii (Baill.) Heckel",7.861741,2.471838
"316","Ricinodendron heudelotii (Baill.) Heckel",7.861261,2.471295
"317","Ricinodendron heudelotii (Baill.) Heckel",7.861387,2.470806
"318","Ricinodendron heudelotii (Baill.) Heckel",7.86164,2.471059
"319","Ricinodendron heudelotii (Baill.) Heckel",7.864662,2.471854
"320","Ricinodendron heudelotii (Baill.) Heckel",7.865169,2.472252
"321","Ricinodendron heudelotii (Baill.) Heckel",7.864391,2.471573
"322","Ricinodendron heudelotii (Baill.) Heckel",7.863682,2.467654
"323","Ricinodendron heudelotii (Baill.) Heckel",7.863899,2.467473
"324","Ricinodendron heudelotii (Baill.) Heckel",0.792102,24.497166
"326","Ricinodendron heudelotii (Baill.) Heckel",7.371712,4.186862
"327","Ricinodendron heudelotii (Baill.) Heckel",8.355603,2.386601
"328","Ricinodendron heudelotii (Baill.) Heckel",7.864899,2.474606
"329","Ricinodendron heudelotii (Baill.) Heckel",7.864094,2.474208
"330","Ricinodendron heudelotii (Baill.) Heckel",7.864122,2.474652
"331","Ricinodendron heudelotii (Baill.) Heckel",8.35449,2.386611
"332","Ricinodendron heudelotii (Baill.) Heckel",7.864744,2.47285
"333","Ricinodendron heudelotii (Baill.) Heckel",7.864988,2.562637
"334","Ricinodendron heudelotii (Baill.) Heckel",7.864789,2.471836
"335","Ricinodendron heudelotii (Baill.) Heckel",7.864182,2.471139
"336","Ricinodendron heudelotii (Baill.) Heckel",7.864273,2.471682
"337","Ricinodendron heudelotii (Baill.) Heckel",7.863828,2.469148
"338","Ricinodendron heudelotii (Baill.) Heckel",7.862905,2.468315
